dates,company,member,title
June 1997,CAP Gemini,jason-busiek-4a280bb,Consultant/Analyst
April 2014,Smart City Wire,tassilo-weber-8a2a4799,Co-Founder
October 2013,,tassilo-weber-8a2a4799,Co-Founder
2013,,tassilo-weber-8a2a4799,Design Thinking Coach
April 2015,Accenture,joshuarbest,SAP HCM Consultant
January 2014,Kiewit,joshuarbest,SAP Functional Team Lead
April 2010,Union Pacific Railroad,joshuarbest,SAP Functional Analyst
May 2007,Union Pacific Railroad,joshuarbest,Accounting Analyst
November 2015,8fit,milancermak,iOS developer
March 2014,ally | local transport app,milancermak,iOS developer
June 2013,Sociomantic Labs,milancermak,iOS developer
2011,WildFuse,milancermak,Full-stack software developer
May 2010,Seznam.cz,milancermak,Software engineer
April 2009,Virklis,milancermak,Developer
June 2007,Google,milancermak,Summer of Code student developer
September 2013,Clue by Biowink,julia-roggatz-a42abb63,iOS Developer
October 2012,Lonely Planet,julia-roggatz-a42abb63,iOS Engineer (intern)
August 2011,Wooga,julia-roggatz-a42abb63,Flash Developer (working student)
August 2009,Wooga,julia-roggatz-a42abb63,Graphic Designer (working student)
March 2014,Shutterstock,adrian-adamkovic-448a6116,iOS Engineer
April 2013,TunedIn Media,adrian-adamkovic-448a6116,Senior iOS Developer
April 2012,ZENTITY a.s.,adrian-adamkovic-448a6116,iOS Developer
March 2011,Interoute,adrian-adamkovic-448a6116,Software engineer
September 2010,Interoute,adrian-adamkovic-448a6116,Graduate Trainee
September 2009,Interoute,adrian-adamkovic-448a6116,Graduate Trainee
February 2007,,adrian-adamkovic-448a6116,IT Support
June 2004,,adrian-adamkovic-448a6116,IT Support
April 2014,Zalando SE,georgakopoulosdimitrios,iOS Developer
September 2013,GetDeal GmbH,georgakopoulosdimitrios,Mobile Developer
March 2013,,georgakopoulosdimitrios,iOS Developer
August 2011,TopCreations,georgakopoulosdimitrios,Developer
August 2015,Freeletics,kevin-chromik-28464897,iOS Developer
July 2014,CupoNation GmbH,kevin-chromik-28464897,Software Quality Assurance Engineer
September 2013,CupoNation GmbH,kevin-chromik-28464897,Quality Assurance Testing Intern
May 2013,,kevin-chromik-28464897,
May 2016,Robert Bosch Smart Home GmbH,jiaming-song-b42b6678,Senior iOS Developer
February 2015,,jiaming-song-b42b6678,Senior iOS Developer
September 2012,NTT DATA Deutschland GmbH,jiaming-song-b42b6678,Technical consultant
January 2011,,jiaming-song-b42b6678,iOS Developer
May 2015,Hays,cindy-van-den-hoecke-776b3525,Teamleader Engineering & IT
December 2013,Hays,cindy-van-den-hoecke-776b3525,Senior Consultant Engineering & technology
July 2011,Hays,cindy-van-den-hoecke-776b3525,Consultant engineering & technology
September 2006,Universiteit Gent,cindy-van-den-hoecke-776b3525,Student
September 2010,,cindy-van-den-hoecke-776b3525,Trainee Communication
September 2009,,cindy-van-den-hoecke-776b3525,Trainee Research & Measurement
December 2009,Hays,tina-de-meyer-329a7020,Teamleader Construction & Property
2008,,tina-de-meyer-329a7020,Commercieel Consulente
2007,,tina-de-meyer-329a7020,Uitzendconsulente - Office Manager
August 2013,Hasso Plattner Institute,martinboissier,PhD Candidate
October 2012,SAP Labs America,martinboissier,Internship
October 2006,Hasso Plattner Institute,martinboissier,Student
May 2010,Hasso Plattner Institute,martinboissier,Scientific Assistant
October 2009,,martinboissier,Internship
July 2007,Hasso Plattner Institute,martinboissier,Student Assistant - IT-Gipfelblog.de
August 2015,AXA Rosenberg Investment Management,benjamin-muller-19796191,Data Scientist
June 2014,ENSAE Finance&Investissement,benjamin-muller-19796191,President
June 2014,Crédit Agricole CIB,benjamin-muller-19796191,Internship
November 2013,,philipp-breil-76719416,Group-Process Faciliation
January 2012,What Would Harry Do?,philipp-breil-76719416,Design Thinking Coach / Trainer
August 2011,What Would Harry Do?,philipp-breil-76719416,Co-founder
October 2012,,philipp-breil-76719416,Learn to Learn Coaching
July 2011,,philipp-breil-76719416,Career / Life Coaching
July 2010,,philipp-breil-76719416,Consultant for the Climate Leadership Programme
March 2006,,philipp-breil-76719416,Night-Care
October 2006,,philipp-breil-76719416,Groupleader
May 2016,Onefootball GmbH,xiris,Team Lead Software Engineering
March 2015,Carmudi.com,xiris,Team Lead Software Engineering
January 2005,,xiris,IT Consultant
September 2012,Smart e-Commerce do Brasil,xiris,Senior PHP Developer
January 2012,Disoft Solutions S.A.,xiris,Development Lead
November 2011,,xiris,Technology Consultant
January 2011,BBKO Consulting,xiris,PHP Team Leader
June 2010,WebPesados,xiris,PHP Programmer
September 2009,Kachola.com,xiris,Web Developer
June 2008,Art Design Publicidade e Propaganda,xiris,Web Developer
February 2006,,xiris,Web Developer
July 2006,,xiris,Web Instructor
January 2015,,xiris,
March 2013,HR Focal Point,maureenmcgarey,SAP HR/HCM Consultant
October 2012,Smith & Wesson,maureenmcgarey,SAP HR/HCM Consultant
June 2012,United Illuminating Company,maureenmcgarey,SAP HR/HCM Consultant
December 2010,United Illuminating Company,maureenmcgarey,SAP HR/HCM Consultant
May 2010,Remington Arms,maureenmcgarey,SAP HR/HCM Consultant
July 2009,Remington Arms,maureenmcgarey,SAP HR/HCM Consultant
September 2008,Purdue Pharma,maureenmcgarey,SAP HR/HCM Consultant
October 2008,RailAmerica,maureenmcgarey,SAP HR/HCM Consultant
April 2008,Central Vermont Public Service,maureenmcgarey,SAP HR/HCM Consultant
July 2007,,maureenmcgarey,SAP HR/HCM Consultant
January 2008,Iberdrola USA (formerly Energy East),maureenmcgarey,SAP HR/HCM Consultant
October 2007,,maureenmcgarey,SAP HR/HCM Consultant
January 2007,Karl Schmidt Unisia,maureenmcgarey,SAP HR/HCM Consultant
July 2006,Shane Co.,maureenmcgarey,SAP HR/HCM Consultant
February 2007,SCE,maureenmcgarey,SAP HR/HCM Consultant
November 2006,Scorpion Offshore,maureenmcgarey,SAP HR/HCM Consultant
June 2005,Iberdrola USA (formerly Energy East),maureenmcgarey,SAP Print Workbench & HR Consultant
July 2004,Iberdrola USA (formerly Energy East),maureenmcgarey,SAP HR/HCM Consultant
January 2003,Iberdrola USA (formerly Energy East),maureenmcgarey,SAP HR/HCM Consultant
July 2000,PremierHR,maureenmcgarey,SAP HR/HCM Consultant
December 1998,Imperial Irrigation District,maureenmcgarey,SAP HR Consultant
April 1998,Dr Pepper Snapple Group (formerly Dr Pepper/ 7UP),maureenmcgarey,SAP HR Consultant
October 1997,Aerojet,maureenmcgarey,SAP HR Consultant
January 1997,Methodist Healthcare System,maureenmcgarey,SAP HR Consultant
September 1990,PwC,maureenmcgarey,SAP HR Consultant
July 1987,,maureenmcgarey,Programmer
June 2014,Cognizant Technology Solutions,gaayatri-verma-17155b36,Sr.SAP HCM Analyst
July 2015,Hays,maurabrys,Consultant in Purchasing & Logistics
September 2015,Inventorum GmbH,teodorpatras,Senior iOS Developer
July 2014,,teodorpatras,iOS Developer
May 2013,AROBS Transilvania Software,teodorpatras,iOS developer
November 2012,Thinslices,teodorpatras,iOS developer
September 2011,,teodorpatras,iOS & Android developer
July 2007,Accenture,vsharan,Associate Manager - SAP HCM Consultant
October 2015,IncuBus Ventures,chrisknappick,Mentor
June 2015,Techstars,chrisknappick,Mentor
June 2015,Videopath,chrisknappick,Advisor
June 2015,,chrisknappick,Product Consultant
June 2015,,chrisknappick,Advisor
March 2015,Hays,hamid-hajjab-2606518,Consultant
January 2011,USG People,hamid-hajjab-2606518,Consultant
September 2008,,hamid-hajjab-2606518,Consultant
January 2011,Hays,mieke-oliestelder-768a0310,Senior Consultant Banking & Insurance - Teamleader Banking & Insurance
July 2008,Hays,mieke-oliestelder-768a0310,Consultant Banking&Insurance
July 2015,Société Générale Credit & Investment Banking — SGCIB,gastonbizel,Data Scientist | Intern
October 2014,Ekimetrics,gastonbizel,Data Scientist | Academic Project
June 2014,National University of Singapore — Credit Research Initiative,gastonbizel,Research Assistant
September 1985,,stephan-arndt-2b61619a,Sozialarbeiter
,,stephan-arndt-14ab35a9,Dipl.-Ing Energie u Versorgungstechnik
June 2015,,jankurella,Management Consultant
March 2015,,jankurella,Project Manager
October 2014,,jankurella,Scrum Master
February 2014,,jankurella,backend developer
March 2013,,jankurella,Embedded Software Engineer
January 2013,Nokia,jankurella,Product Owner Outdoor Platform
November 2008,,jankurella,Software Architect
October 2004,,jankurella,Consultant
September 2011,,jankurella,
June 2010,,jankurella,
February 2014,,thuychinhduong,Consultant
April 2013,,thuychinhduong,Design Thinking Teacher
April 2012,,thuychinhduong,Facilitator and Coach in Design Thinking
August 2011,What Would Harry Do?,thuychinhduong,Harriette
October 2014,,thuychinhduong,
March 2015,Trinchero Family Estates,misbah-khan-33184b35,SAP HCM Platinum Consultant
January 2013,Lorillard Tobacco Company,misbah-khan-33184b35,SAP HCM - ECM Solution Architect
July 2011,Barclays Capital,misbah-khan-33184b35,"SAP HCM - Project Manager - PA, OM, Time, Ben & PY"
October 2011,CSC,misbah-khan-33184b35,SAP HCM ECM - Executive Compensation - Global Solution Architect
2010,Comcast,misbah-khan-33184b35,SAP HCM ECM - Enterprise Compensation Management - Solution Architect
2010,Johnson & Johnson,misbah-khan-33184b35,"SAP HCM - Global PA, OM & ECM Expert"
2006,DuPont,misbah-khan-33184b35,SAP HCM - ECM Global Solution Architect & Team Lead
2000,Dow Corning,misbah-khan-33184b35,SAP HCM - Global ECM Expert
1998,Speedfam Corp,misbah-khan-33184b35,SAP HCM - Project Manager & Solution Architect - PA & OM
1998,Conectiv,misbah-khan-33184b35,SAP HCM - Team Lead & Solution Architect PA
1997,Hewlett-Packard,misbah-khan-33184b35,SAP HCM Team Lead - PA & OM
1997,Handok,misbah-khan-33184b35,SAP FI & CO Project Manager
1996,American Airlines,misbah-khan-33184b35,SAP HCM Senior Consultant
April 2016,OLX,dmitriyzavalkin,Operations Engineer
May 2015,ShopWings | Rocket Internet,dmitriyzavalkin,Lead Software Engineer
February 2013,AOE GmbH,dmitriyzavalkin,Lead PHP Developer / Scrum Master
2010,Blink Tech,dmitriyzavalkin,PHP Developer
August 2011,"Magento, Inc., an eBay Company (X.Commerce)",dmitriyzavalkin,PHP Developer / Tech Lead
May 2011,Magento,dmitriyzavalkin,PHP Developer / PaaS team
June 2010,Binary Studio,dmitriyzavalkin,Web Developer
September 2009,NET Technology Center WEB100,dmitriyzavalkin,Web Developer
January 2014,,vikram-akepati-650a0681,Managing Consultant -SAP HCM / SuccessFactors
March 2011,IBM (Blue Harmony),vikram-akepati-650a0681,Sr. SAP HCM Lead Consultant
January 2010,Cognizant Technology Solutions,surenderpamu,SAP HCM Sr. Consultant
October 2007,Cognizant Technology Solutions (India),surenderpamu,SAP HCM Techo Functional Consultant
2007,Cognizant Technology Solutions,surenderpamu,ERP Consultant
April 2010,,vikram-akepati-650a0681,Sr. SAP HCM Lead Consultant
June 2008,,vikram-akepati-650a0681,Sr. SAP HCM Consultant
March 2006,Allstate Insurance/IBM,vikram-akepati-650a0681,Sr. SAP HCM Consultant
March 2005,Sanofi Aventis,vikram-akepati-650a0681,SAP HR Consultant
January 2001,,vikram-akepati-650a0681,
July 2014,Cognizant Technology Solutions,binu-wilson-15089a11,Consultant SAP HCM
September 2012,Atos,binu-wilson-15089a11,Consultant SAP HCM
,Cognizant Technology Solutions,sandeep-karnakanti-03840734,SAP HCM Consultant
June 2011,TransAltus Management Consulting Pvt Ltd,binu-wilson-15089a11,Consultant SAP HCM
July 2010,Tata Consultancy Services,binu-wilson-15089a11,HR
February 2009,Hyatt Regency,binu-wilson-15089a11,HR
May 2005,Sutherland Global Services,binu-wilson-15089a11,Technical Consultant
1988,,carsten-pfeiffer-66b009a2,Geschäftsführer
July 2010,,mohammed-ali-46918140,SAP HCM Functional Consultant (Contractor)
September 2009,,mohammed-ali-46918140,SAP HCM Functional Consultant(Contractor)
December 2008,,mohammed-ali-46918140,SAP HCM Functional Consultant(Contractor)
January 2008,,mohammed-ali-46918140,SAP HCM Functional Consultant(Contractor)
January 2006,,mohammed-ali-46918140,SAP HCM Functional Consultant(Contractor)
May 2005,,mohammed-ali-46918140,SAP HCM Functional Consultant(Contractor)
January 2003,,mohammed-ali-46918140,HR / Business Development Manager
February 1998,,mohammed-ali-46918140,Manager – Contracts & Human Resources
January 2015,,rich-castelino-9659b830,SAP Project and Portfolio Management Consultant
January 2001,,rich-castelino-9659b830,OWNER / PRINCIPAL SAP CONSULTANT
May 2015,SAP,rich-castelino-9659b830,SAP Senior Consultant
September 2013,Target,rich-castelino-9659b830,"SAP Senior Consultant - TARGET, Minneapolis, MN: corp-to-corp"
June 2012,Target,rich-castelino-9659b830,"SAP Senior Consultant - TARGET, Minneapolis, MN: corp-to-corp"
February 2012,MEMC Electronic Materials,rich-castelino-9659b830,"SAP Senior Consultant - MEMC, St. Louis, MO: corp-to-corp"
July 2011,CommScope,rich-castelino-9659b830,"SAP Senior Consultant - COMMSCOPE, Joliet, IL: corp-to-corp"
November 2009,Triumph Aerostructures - Vought Aircraft Division,rich-castelino-9659b830,"SAP Lead Consultant - TRIUMPH AEROSTRUCTURES, Grand Prairie, TX: corp-to-corp"
January 2008,Rockwell Automation,rich-castelino-9659b830,"SAP Senior Consultant - ROCKWELL AUTOMATION, Milwaukee, WI: corp-to-corp"
October 2007,Abbott,rich-castelino-9659b830,"SAP Senior Consultant - ABBOTT LABORATORIES, North Chicago, IL: corp-to-corp"
July 2007,Hollister Incorporated,rich-castelino-9659b830,"SAP Senior Consultant - HOLLISTER, INC., Libertyville, IL: corp-to-corp"
October 2006,Albany International,rich-castelino-9659b830,"SAP Lead Consultant - ALBANY INTERNATIONAL, Albany, NY: corp-to-corp"
January 2006,Tellabs,rich-castelino-9659b830,"SAP Senior Consultant - TELLABS, INC., Naperville, IL: corp-to-corp"
June 2005,JPMorgan Chase,rich-castelino-9659b830,"SAP Senior Consultant - JP MORGAN CHASE, Chicago, IL: corp-to-corp"
November 2004,Tellabs,rich-castelino-9659b830,"SAP Senior Consultant - TELLABS, INC., Naperville, IL : corp-to-corp"
July 2004,Nortel Networks,rich-castelino-9659b830,"SAP Senior Consultant - NORTEL NETWORKS, Raleigh, NC : corp-to-corp"
January 2004,UOP,rich-castelino-9659b830,"SAP Senior Consultant - U.O.P, Des Plaines, IL: corp-to-corp"
July 2003,Imperial Irrigation District,rich-castelino-9659b830,"SAP Senior Consultant - IMPERIAL IRRIGATION DISTRICT, El Centro, CA"
October 2002,Idea Integration,rich-castelino-9659b830,SAP Consultant - PS upgrade Toolkit and Dashboard Development (Internal Project at IDEA)
January 2001,Idea Integration,rich-castelino-9659b830,"SAP Lead Consultant - CITY PUBLIC SERVICES, San Antonio, TX"
December 2000,Horiba,rich-castelino-9659b830,"SAP Lead Consultant - HORIBA INSTRUMENTS, INC., Irvine, CA"
January 2000,Sempra Energy,rich-castelino-9659b830,"SAP Lead Consultant - SEMPRA ENERGY, San Diego, CA"
September 1999,,rich-castelino-9659b830,"SAP Lead Consultant - LUCENT LABORATORIES, Naperville, IL"
October 1998,The World Bank,rich-castelino-9659b830,"SAP Lead Consultant - THE WORLD BANK, Washington D.C."
June 2016,MyMicroInvest,ellendeschuttere,Sales Representative
June 2010,Hays,ellendeschuttere,Senior Consultant Banking&Insurance
December 2007,Recruitment,ellendeschuttere,Senior Consultant
April 2006,,ellendeschuttere,Management Assistant
September 2015,Hays,benji-commers-989479a0,Consultant in Banking & Insurances
September 2014,ING Belgium,benji-commers-989479a0,Talent Acquisition - Recruitment Intern
September 2014,Hays,lienvanquickenborne,Consultant Office Support
May 2013,AGO Jobs & HR,lienvanquickenborne,Uitzendconsulent
November 2012,Select Human Resources,lienvanquickenborne,Stagiair
October 2014,Axel Springer ideAS Engineering GmbH,sebastian-waschnick-b1366a104,Software Engineer
June 2011,IVU Traffic Technologies AG,sebastian-waschnick-b1366a104,System Engineer
February 2008,Siemens,sebastian-waschnick-b1366a104,Werkstudent
March 2015,Atlas Obscura,tylermcole,Head of Product
February 2012,Shutterstock,tylermcole,Product Director of Revenue and Customer Experience
September 2010,New York University,tylermcole,Adjunct Usability Instructor
November 2010,Shutterstock,tylermcole,Revenue Product Manager
June 2007,Travelocity,tylermcole,Senior Product Manager
October 2005,Travelocity,tylermcole,Design and Usability Manager
April 2004,IgoUgo,tylermcole,Project Manager
February 2003,IgoUgo,tylermcole,Web Designer
November 2014,,manataheri,Coach
October 2014,Hasso Plattner Institute,manataheri,Researcher at the HPI-Stanford Design Thinking Research Program
January 2013,,manataheri,Co-organizer and Design Thinking coach
September 2012,Humboldt-Universität zu Berlin,manataheri,"Social and Information Tutor, Student Assistant at the School of Business and Economics"
April 2011,Hasso-Plattner-Institute,manataheri,Student - School of Design Thinking
October 2011,Brand Experience Designers,manataheri,"Project Asssitant, Intern"
March 2005,,manataheri,"Junior Marketing Manager, Student Worker"
October 2013,Accenture,priyanka-kejriwal-a7b0785,SAP HCM Business & Systems Integration Manager
June 2015,,misbah-khan-98040595,Project Manager
August 2013,Armedia,misbah-khan-98040595,Business Analyst/Test Engineer
August 2009,,misbah-khan-98040595,Substitute Teacher
August 2009,,misbah-khan-98040595,Teacher
November 2010,Wipro Technologies,anjli-arun-5877668,Lead Consultant-SAP HR
October 2012,,anjli-arun-5877668,SAP HCM Consultant
December 2011,"Nexeo Solutions, LLC",anjli-arun-5877668,SAP HCM Consultant
September 2008,IBM Global Services,anjli-arun-5877668,Application Consultant
September 2008,IBM,anjli-arun-5877668,SAP HCM Consultant
January 2006,,anjli-arun-5877668,Lead-HR
2006,,anjli-arun-5877668,Lead-HR
2006,,anjli-arun-5877668,Lead-HR
August 2003,,anjli-arun-5877668,Executive-HR
January 2014,,surendra-singh-rawat-929aba15,SAP HCM Consultant
June 2010,,surendra-singh-rawat-929aba15,SAP HCM Consultant
September 2007,,surendra-singh-rawat-929aba15,Administrative Assistant
February 2003,,surendra-singh-rawat-929aba15,Office Administrator
January 1999,,surendra-singh-rawat-929aba15,Customer Care Executive
September 1995,,surendra-singh-rawat-929aba15,Office Administrator-cum-Computer Operator
March 2011,,stephan-arndt-51b66492,Programmer
August 2015,Starbucks,anjanichowdary,Senior Consultant-SAP HCM
March 2014,,anjanichowdary,SAP HCM Lead Consultant
April 2013,GfK,anjanichowdary,SAP HCM Consultant
December 2009,Wipro Technologies,anjanichowdary,SAP HCM Consultant
August 2008,Omniture,anjanichowdary,SAP HR Consultant
July 2007,eCommQuest,justin-mather-4058284,Sr. Resource Manager
June 2006,,justin-mather-4058284,Sr. Account Manager
